index,burst,B,S,C,Y
0,0,-0.0017577,0,-1.10042e-14,0.00709197
0,0,-0.00195348,0,-1.10042e-14,0.0103323
0,0,-0.00239499,0,-1.10042e-14,-0.0201255
0,0,-0.00319019,0,-1.10042e-14,-0.0195411
0,0,-0.00190395,0,-1.10042e-14,0.0158161
0,0,-0.00291258,0,-1.10042e-14,0.00477138
0,0,-0.0032307,0,-1.10042e-14,-0.00896506
0,0,-0.00353428,0,-1.10042e-14,0.0213696
0,0,-0.00392802,0,-1.10042e-14,0.00784526
0,0,-0.00280471,0,-1.10042e-14,-0.0255392
0,0,-0.0018817,0,-1.10042e-14,0.0267691
0,0,-0.00292844,0,-1.10042e-14,-0.0133122
0,1,-0.00371136,0,-1.10042e-14,-0.000382852
0,1,-0.00449862,0,-1.10042e-14,0.000204926
0,1,-0.00452278,0,-1.10042e-14,-0.00815287
0,1,-0.00392219,0,-1.10042e-14,0.0316814
0,1,-0.00387682,0,-1.10042e-14,0.00828572
0,1,-0.0049971,0,-1.10042e-14,-0.00888199
0,1,-0.00339974,0,-1.10042e-14,0.00923793
0,1,-0.00373014,0,-1.10042e-14,0.0200764
0,1,-0.00441083,0,-1.10042e-14,0.00944574
0,1,-0.00621799,1,0.00811215,0.0515017
0,1,-0.0079548,0,0.0294565,0.111882
0,1,-0.0085988,0,0.0536944,0.0923632
0,1,-0.00840347,0,0.0762433,0.136201
0,1,-0.00944551,0,0.0953898,0.157425
0,1,-0.0103592,0,0.110772,0.161833
0,1,-0.0114921,1,0.133209,0.241118
0,1,-0.0108226,0,0.168948,0.285185
0,1,-0.00938312,0,0.204828,0.292257
0,1,-0.0109057,0,0.235831,0.345233
0,1,-0.0104908,0,0.260618,0.311243
0,1,-0.00959184,0,0.279409,0.316193
0,1,-0.00750933,0,0.293017,0.328205
0,1,-0.00823403,0,0.302409,0.30725
0,1,-0.00814147,0,0.3085,0.330862
0,1,-0.00863593,0,0.312079,0.291852
0,1,-0.0098607,0,0.31379,0.353491
0,1,-0.0111005,0,0.314137,0.294444
0,1,-0.0110367,0,0.313506,0.296815
0,1,-0.0117024,1,0.32324,0.286318
0,1,-0.0123329,0,0.34965,0.363396
0,1,-0.014695,0,0.378522,0.425821
